[layer_16.k] calls=141 zero_ratio=0.000953 two_zeros_ratio=0.000005
[layer_16.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_16.q] calls=141 zero_ratio=0.000953 two_zeros_ratio=0.000005
[layer_16.up] calls=141 zero_ratio=0.000538 two_zeros_ratio=0.000002
[layer_16.v] calls=141 zero_ratio=0.000953 two_zeros_ratio=0.000005
[layer_17.down] calls=141 zero_ratio=0.474130 two_zeros_ratio=0.644112
[layer_17.gate] calls=141 zero_ratio=0.000470 two_zeros_ratio=0.000001
[layer_17.k] calls=141 zero_ratio=0.000882 two_zeros_ratio=0.000005
[layer_17.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_17.q] calls=141 zero_ratio=0.000882 two_zeros_ratio=0.000005
[layer_17.up] calls=141 zero_ratio=0.000470 two_zeros_ratio=0.000001
[layer_17.v] calls=141 zero_ratio=0.000882 two_zeros_ratio=0.000005
[layer_18.down] calls=141 zero_ratio=0.476094 two_zeros_ratio=0.646701
[layer_18.gate] calls=141 zero_ratio=0.000352 two_zeros_ratio=0.000001
[layer_18.k] calls=141 zero_ratio=0.000822 two_zeros_ratio=0.000004
[layer_18.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_18.q] calls=141 zero_ratio=0.000822 two_zeros_ratio=0.000004
[layer_18.up] calls=141 zero_ratio=0.000352 two_zeros_ratio=0.000001
[layer_18.v] calls=141 zero_ratio=0.000822 two_zeros_ratio=0.000004
[layer_19.down] calls=141 zero_ratio=0.477785 two_zeros_ratio=0.648217
[layer_19.gate] calls=141 zero_ratio=0.000278 two_zeros_ratio=0.000000
[layer_19.k] calls=141 zero_ratio=0.000743 two_zeros_ratio=0.000003
[layer_19.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_19.q] calls=141 zero_ratio=0.000743 two_zeros_ratio=0.000003
[layer_19.up] calls=141 zero_ratio=0.000278 two_zeros_ratio=0.000000
[layer_19.v] calls=141 zero_ratio=0.000743 two_zeros_ratio=0.000003
[layer_20.down] calls=141 zero_ratio=0.481170 two_zeros_ratio=0.653098
[layer_20.gate] calls=141 zero_ratio=0.000263 two_zeros_ratio=0.000000
[layer_20.k] calls=141 zero_ratio=0.000693 two_zeros_ratio=0.000003
[layer_20.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_20.q] calls=141 zero_ratio=0.000693 two_zeros_ratio=0.000003
[layer_20.up] calls=141 zero_ratio=0.000263 two_zeros_ratio=0.000000
[layer_20.v] calls=141 zero_ratio=0.000693 two_zeros_ratio=0.000003
[layer_21.down] calls=141 zero_ratio=0.484402 two_zeros_ratio=0.656252
[layer_21.gate] calls=141 zero_ratio=0.000336 two_zeros_ratio=0.000001
[layer_21.k] calls=141 zero_ratio=0.000658 two_zeros_ratio=0.000003
[layer_21.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_21.q] calls=141 zero_ratio=0.000658 two_zeros_ratio=0.000003
[layer_21.up] calls=141 zero_ratio=0.000336 two_zeros_ratio=0.000001
[layer_21.v] calls=141 zero_ratio=0.000658 two_zeros_ratio=0.000003
[layer_22.down] calls=141 zero_ratio=0.484957 two_zeros_ratio=0.656422
[layer_22.gate] calls=141 zero_ratio=0.000242 two_zeros_ratio=0.000000
[layer_22.k] calls=141 zero_ratio=0.000627 two_zeros_ratio=0.000002
[layer_22.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_22.q] calls=141 zero_ratio=0.000627 two_zeros_ratio=0.000002
[layer_22.up] calls=141 zero_ratio=0.000242 two_zeros_ratio=0.000000
[layer_22.v] calls=141 zero_ratio=0.000627 two_zeros_ratio=0.000002
[layer_23.down] calls=141 zero_ratio=0.485440 two_zeros_ratio=0.658692
[layer_23.gate] calls=141 zero_ratio=0.000226 two_zeros_ratio=0.000000
[layer_23.k] calls=141 zero_ratio=0.000589 two_zeros_ratio=0.000002
[layer_23.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_23.q] calls=141 zero_ratio=0.000589 two_zeros_ratio=0.000002
[layer_23.up] calls=141 zero_ratio=0.000226 two_zeros_ratio=0.000000
[layer_23.v] calls=141 zero_ratio=0.000589 two_zeros_ratio=0.000002
[layer_24.down] calls=141 zero_ratio=0.488174 two_zeros_ratio=0.663892
[layer_24.gate] calls=141 zero_ratio=0.000227 two_zeros_ratio=0.000000
[layer_24.k] calls=141 zero_ratio=0.000546 two_zeros_ratio=0.000002
[layer_24.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_24.q] calls=141 zero_ratio=0.000546 two_zeros_ratio=0.000002
[layer_24.up] calls=141 zero_ratio=0.000227 two_zeros_ratio=0.000000
[layer_24.v] calls=141 zero_ratio=0.000546 two_zeros_ratio=0.000002
[layer_25.down] calls=141 zero_ratio=0.489467 two_zeros_ratio=0.666748
[layer_25.gate] calls=141 zero_ratio=0.000244 two_zeros_ratio=0.000000
[layer_25.k] calls=141 zero_ratio=0.000529 two_zeros_ratio=0.000002
[layer_25.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_25.q] calls=141 zero_ratio=0.000529 two_zeros_ratio=0.000002
[layer_25.up] calls=141 zero_ratio=0.000244 two_zeros_ratio=0.000000
[layer_25.v] calls=141 zero_ratio=0.000529 two_zeros_ratio=0.000002
[layer_26.down] calls=141 zero_ratio=0.488499 two_zeros_ratio=0.665693
[layer_26.gate] calls=141 zero_ratio=0.000267 two_zeros_ratio=0.000001
[layer_26.k] calls=141 zero_ratio=0.000507 two_zeros_ratio=0.000002
[layer_26.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_26.q] calls=141 zero_ratio=0.000507 two_zeros_ratio=0.000002
[layer_26.up] calls=141 zero_ratio=0.000267 two_zeros_ratio=0.000001
[layer_26.v] calls=141 zero_ratio=0.000507 two_zeros_ratio=0.000002
[layer_27.down] calls=141 zero_ratio=0.494227 two_zeros_ratio=0.673799
[layer_27.gate] calls=141 zero_ratio=0.000291 two_zeros_ratio=0.000001
[layer_27.k] calls=141 zero_ratio=0.000504 two_zeros_ratio=0.000002
[layer_27.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_27.q] calls=141 zero_ratio=0.000504 two_zeros_ratio=0.000002
[layer_27.up] calls=141 zero_ratio=0.000291 two_zeros_ratio=0.000001
[layer_27.v] calls=141 zero_ratio=0.000504 two_zeros_ratio=0.000002
[layer_28.down] calls=141 zero_ratio=0.495004 two_zeros_ratio=0.675502
[layer_28.gate] calls=141 zero_ratio=0.000277 two_zeros_ratio=0.000000
[layer_28.k] calls=141 zero_ratio=0.000526 two_zeros_ratio=0.000002
[layer_28.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_28.q] calls=141 zero_ratio=0.000526 two_zeros_ratio=0.000002
[layer_28.up] calls=141 zero_ratio=0.000277 two_zeros_ratio=0.000000
[layer_28.v] calls=141 zero_ratio=0.000526 two_zeros_ratio=0.000002
[layer_29.down] calls=141 zero_ratio=0.495547 two_zeros_ratio=0.677175
[layer_29.gate] calls=141 zero_ratio=0.000363 two_zeros_ratio=0.000001
[layer_29.k] calls=141 zero_ratio=0.000539 two_zeros_ratio=0.000002
[layer_29.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_29.q] calls=141 zero_ratio=0.000539 two_zeros_ratio=0.000002
[layer_29.up] calls=141 zero_ratio=0.000363 two_zeros_ratio=0.000001
[layer_29.v] calls=141 zero_ratio=0.000539 two_zeros_ratio=0.000002
[layer_30.down] calls=141 zero_ratio=0.495031 two_zeros_ratio=0.676790
[layer_30.gate] calls=141 zero_ratio=0.000357 two_zeros_ratio=0.000001
[layer_30.k] calls=141 zero_ratio=0.000570 two_zeros_ratio=0.000002
[layer_30.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_30.q] calls=141 zero_ratio=0.000570 two_zeros_ratio=0.000002
[layer_30.up] calls=141 zero_ratio=0.000357 two_zeros_ratio=0.000001
[layer_30.v] calls=141 zero_ratio=0.000570 two_zeros_ratio=0.000002
[layer_31.down] calls=141 zero_ratio=0.501798 two_zeros_ratio=0.687527
[layer_31.gate] calls=141 zero_ratio=0.000475 two_zeros_ratio=0.000001
[layer_31.k] calls=141 zero_ratio=0.000681 two_zeros_ratio=0.000003
[layer_31.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_31.q] calls=141 zero_ratio=0.000681 two_zeros_ratio=0.000003
[layer_31.up] calls=141 zero_ratio=0.000475 two_zeros_ratio=0.000001
[layer_31.v] calls=141 zero_ratio=0.000681 two_zeros_ratio=0.000003

[avg.down] calls=4512 zero_ratio=0.486643 two_zeros_ratio=0.663163
[avg.gate] calls=4512 zero_ratio=0.000509 two_zeros_ratio=0.000002
[avg.k] calls=4512 zero_ratio=0.000778 two_zeros_ratio=0.000004
[avg.o] calls=4512 zero_ratio=0.000000 two_zeros_ratio=0.000000
[avg.q] calls=4512 zero_ratio=0.000778 two_zeros_ratio=0.000004
[avg.up] calls=4512 zero_ratio=0.000509 two_zeros_ratio=0.000002
[avg.v] calls=4512 zero_ratio=0.000778 two_zeros_ratio=0.000004
